       1    *0.003617*      0.080468      0.012139
       2    *0.004623*      0.080813      0.011779
       3    *0.005021*      0.078946      0.012109
       4    *0.005710*      0.080225      0.012005
       5    *0.006310*      0.103169      0.014333
    1000      0.690492      0.079410    *0.012181*
    1001      0.661925      0.080430    *0.012146*
    1002      0.700082      0.080573    *0.012684*
    1003      0.677180      0.079268    *0.012751*
    1004      0.634370      0.079762    *0.012370*
  100000      --------      0.081199    *0.028464*
  100001      --------      0.080009    *0.027564*
  100002      --------      0.079915    *0.026645*
  100003      --------      0.079734    *0.026871*
  100004      --------      0.079400    *0.029285*
  300000      --------      0.080337    *0.058039*
  300001      --------      0.082249    *0.061351*
  300002      --------      0.081130    *0.056922*
  300003      --------      0.080959    *0.058560*
  300004      --------      0.079848    *0.060064*
  700000      --------    *0.083984*      0.107427
  700001      --------    *0.086673*      0.152180
  700002      --------    *0.081995*      0.114330
  700003      --------    *0.090970*      0.112563
  700004      --------    *0.089180*      0.150836
  999996      --------    *0.089200*      0.177880
  999997      --------    *0.095990*      0.173935
  999998      --------    *0.094077*      0.219101
  999999      --------    *0.098485*      0.177886
 1000000      --------    *0.108177*      0.173679
